2f_dr_02_wg_00005_lr_01_bn_mom,2f_dr_02_wg_00005_lr_005_bn_mom
1.5758658677452249,1.648767003355274
1.4794787123062692,1.5599342383818435
1.4286750692852002,1.5129775524517524
1.3944097535716682,1.4821542036801858
1.3704034743576945,1.4593032379655329
1.3519499916458384,1.4424165923329226
1.3377958285127245,1.4286611921039358
1.3261344298482045,1.4172507501882716
1.3164577200461196,1.4075016151057376
1.3081853131674221,1.3993091945786067
1.30104339466916,1.3919468926980696
1.2944855560695732,1.3855507006561822
1.2892215210051463,1.379792785818556
1.2842476165820256,1.3746188627633753
1.2795957740010537,1.369873821030475
1.2754800099222274,1.3655683155674514
1.2717586804539538,1.3615422646297088
1.2682221374272657,1.357898398608336
1.2650329662547752,1.3544703619997578
1.2620565970671582,1.3512276378663248
1.2592605087724744,1.3482599402696895
1.256706680815618,1.3454394116158415
1.2542382279054665,1.34279410328959
1.252065467673051,1.340309072292065
1.2499145636647473,1.3379584920608694
1.2479343203538402,1.335761121373618
1.24600582686985,1.3336305711440137
1.2442220210198838,1.3316228732752342
1.2425115301287728,1.3296784516933846
1.2409055527593889,1.327852883771806
1.2393988577590012,1.3261194696924021
1.2379746631220816,1.3244392994990095
1.2365722533864068,1.3228391877126475
1.2352136108100826,1.3212829137347237
1.2339261048633856,1.3198091361884228
1.2327089223931775,1.3183790685955843
1.2315351075601972,1.3169741001144188
1.2303893996642303,1.3156472768500342
1.2292723213391061,1.3143637330507139
1.2281998077076306,1.3131325268150285
1.2271897967486205,1.3119149046879623
1.2261976571459068,1.310743291056841
1.2252387194612682,1.3096382117957737
1.2243048140953867,1.308546035656864
1.2234065012619235,1.3074851846236606
1.222577137695639,1.3064617716448164
1.2217350944027818,1.3054624130624843
1.220919793153623,1.304489509772503
1.220123399825027,1.303541268041635
1.219353107411888,1.3026180431684151
